DATE,PRCP,SNOW,TMAX,TMIN,RAIN_mm,SNOW_mm
2017-01-01,0.0,0.0,41.0,22.0,0.0,0.0
2017-01-02,0.24,0.0,41.0,31.0,0.6096,0.0
2017-01-03,0.02,0.0,42.0,21.0,0.050800000000000005,0.0
2017-01-04,0.0,0.0,21.0,10.0,0.0,0.0
2017-01-05,0.0,0.0,15.0,5.0,0.0,0.0
2017-01-06,0.0,0.0,10.0,1.0,0.0,0.0
2017-01-07,0.0,0.0,19.0,2.0,0.0,0.0
2017-01-08,0.0,0.0,20.0,4.0,0.0,0.0
2017-01-09,0.02,0.2,35.0,19.0,0.050800000000000005,0.508
2017-01-10,0.2,0.0,52.0,27.0,0.508,0.0
2017-01-11,0.54,0.0,45.0,27.0,1.3716000000000002,0.0
2017-01-12,0.11,0.2,31.0,22.0,0.2794,0.508
2017-01-13,0.0,0.0,29.0,18.0,0.0,0.0
2017-01-14,0.0,0.0,35.0,25.0,0.0,0.0
2017-01-15,0.0,0.0,35.0,22.0,0.0,0.0
2017-01-16,0.57,0.0,39.0,33.0,1.4478,0.0
2017-01-17,0.5,0.0,40.0,33.0,1.27,0.0
2017-01-18,0.0,0.0,36.0,32.0,0.0,0.0
2017-01-19,0.78,0.0,42.0,32.0,1.9812,0.0
2017-01-20,0.21,0.0,47.0,37.0,0.5334,0.0
2017-01-21,0.0,0.0,60.0,40.0,0.0,0.0
2017-01-22,0.0,0.0,46.0,40.0,0.0,0.0
2017-01-23,0.0,0.0,43.0,39.0,0.0,0.0
2017-01-24,0.0,0.0,39.0,36.0,0.0,0.0
2017-01-25,0.09,0.0,44.0,35.0,0.2286,0.0
2017-01-26,0.02,0.1,35.0,32.0,0.050800000000000005,0.254
2017-01-27,0.0,0.0,32.0,25.0,0.0,0.0
2017-01-28,0.0,0.0,30.0,26.0,0.0,0.0
2017-01-29,0.0,0.1,29.0,23.0,0.0,0.254
2017-01-30,0.0,0.0,39.0,17.0,0.0,0.0
2017-01-31,0.02,0.0,43.0,36.0,0.050800000000000005,0.0
2017-02-01,0.0,0.0,39.0,23.0,0.0,0.0
2017-02-02,0.0,0.0,25.0,15.0,0.0,0.0
2017-02-03,0.0,0.0,29.0,15.0,0.0,0.0
2017-02-04,0.0,0.0,34.0,16.0,0.0,0.0
2017-02-05,0.0,0.0,41.0,29.0,0.0,0.0
2017-02-06,0.0,0.0,55.0,27.0,0.0,0.0
2017-02-07,0.55,0.0,53.0,34.0,1.3970000000000002,0.0
2017-02-08,0.0,0.1,34.0,20.0,0.0,0.254
2017-02-09,0.0,0.0,25.0,14.0,0.0,0.0
2017-02-10,0.0,0.0,44.0,18.0,0.0,0.0
2017-02-11,0.0,0.0,52.0,38.0,0.0,0.0
2017-02-12,0.0,0.0,49.0,32.0,0.0,0.0
2017-02-13,0.0,0.0,45.0,27.0,0.0,0.0
2017-02-14,0.0,0.0,51.0,34.0,0.0,0.0
2017-02-15,0.0,0.0,36.0,28.0,0.0,0.0
2017-02-16,0.0,0.0,42.0,31.0,0.0,0.0
2017-02-17,0.0,0.0,67.0,32.0,0.0,0.0
2017-02-18,0.0,0.0,70.0,45.0,0.0,0.0
2017-02-19,0.0,0.0,67.0,38.0,0.0,0.0
2017-02-20,0.0,0.0,70.0,46.0,0.0,0.0
2017-02-21,0.16,0.0,65.0,53.0,0.40640000000000004,0.0
2017-02-22,0.0,0.0,67.0,52.0,0.0,0.0
2017-02-23,0.16,0.0,59.0,38.0,0.40640000000000004,0.0
2017-02-24,0.11,0.0,44.0,33.0,0.2794,0.0
2017-02-25,0.0,0.0,34.0,23.0,0.0,0.0
2017-02-26,0.0,0.0,49.0,24.0,0.0,0.0
2017-02-27,0.0,0.0,54.0,33.0,0.0,0.0
2017-02-28,1.73,0.0,59.0,47.0,4.3942,0.0
2017-03-01,0.09,0.0,54.0,32.0,0.2286,0.0
2017-03-02,0.0,0.0,36.0,27.0,0.0,0.0
2017-03-03,0.0,0.0,33.0,21.0,0.0,0.0
2017-03-04,0.01,0.2,42.0,29.0,0.025400000000000002,0.508
